"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"1400000US21111000201","Census Tract 2.01; Jefferson County; Kentucky","1163","283","784","220","324","209","0","13","0","13","0","13","0","13","55","53","0","13","55","53",
"1400000US21111000202","Census Tract 2.02; Jefferson County; Kentucky","809","151","640","144","119","99","0","13","0","13","0","13","10","17","40","32","2","4","38","33",
"1400000US21111000300","Census Tract 3; Jefferson County; Kentucky","2155","480","863","270","1140","428","14","27","0","13","0","13","116","84","22","29","0","13","22","29",
"1400000US21111000400","Census Tract 4; Jefferson County; Kentucky","4644","634","753","171","3553","673","0","13","1","2","0","13","0","13","337","339","8","13","329","339",
"1400000US21111000600","Census Tract 6; Jefferson County; Kentucky","1269","314","34","33","1177","335","0","13","0","13","0","13","0","13","58","57","32","43","26","28",
"1400000US21111000700","Census Tract 7; Jefferson County; Kentucky","2198","479","343","290","1787","428","0","13","0","13","0","13","11","26","57","72","0","13","57","72",
"1400000US21111000800","Census Tract 8; Jefferson County; Kentucky","1920","330","172","169","1713","361","12","19","7","11","0","13","0","13","16","27","0","13","16","27",
"1400000US21111000900","Census Tract 9; Jefferson County; Kentucky","2115","418","138","79","1689","443","30","41","0","13","0","13","0","13","258","170","0","13","258","170",
"1400000US21111001000","Census Tract 10; Jefferson County; Kentucky","2487","794","155","189","2166","795","61","92","12","20","0","13","0","13","93","137","0","13","93","137",
"1400000US21111001100","Census Tract 11; Jefferson County; Kentucky","3002","515","285","274","2251","516","0","13","10","18","0","13","240","264","216","185","0","13","216","185",
"1400000US21111001200","Census Tract 12; Jefferson County; Kentucky","2834","512","164","162","2617","486","0","13","0","13","0","13","22","32","31","50","0","13","31","50",
"1400000US21111001400","Census Tract 14; Jefferson County; Kentucky","2485","547","96","99","2348","548","0","13","19","36","0","13","0","13","22","36","20","33","2","17",
"1400000US21111001500","Census Tract 15; Jefferson County; Kentucky","3028","704","130","134","2694","712","0","13","0","13","0","13","0","13","204","187","18","26","186","185",
"1400000US21111001600","Census Tract 16; Jefferson County; Kentucky","2783","643","131","74","2319","712","0","13","0","13","0","13","141","221","192","211","0","13","192","211",
"1400000US21111001700","Census Tract 17; Jefferson County; Kentucky","1636","405","75","57","1507","403","0","13","0","13","0","13","9","14","45","46","7","10","38","39",
"1400000US21111001800","Census Tract 18; Jefferson County; Kentucky","1075","290","12","15","928","297","0","13","0","13","0","13","0","13","135","134","6","13","129","136",
"1400000US21111002100","Census Tract 21; Jefferson County; Kentucky","1952","288","1322","275","436","210","0","13","1","2","1","2","31","37","161","103","12","18","149","106",
"1400000US21111002300","Census Tract 23; Jefferson County; Kentucky","1991","446","849","269","984","360","36","53","0","13","0","13","13","22","109","84","4","6","105","83",
"1400000US21111002401","Census Tract 24.01; Jefferson County; Kentucky","1399","258","165","94","1234","259","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US21111002402","Census Tract 24.02; Jefferson County; Kentucky","3116","833","847","842","2068","425","0","13","0","13","0","13","0","13","201","154","7","13","194","153",
"1400000US21111002700","Census Tract 27; Jefferson County; Kentucky","2613","823","564","219","1671","741","0","13","0","13","0","13","0","13","378","349","3","4","375","349",
"1400000US21111002800","Census Tract 28; Jefferson County; Kentucky","1581","376","260","133","1223","396","0","13","0","13","0","13","49","58","49","58","0","13","49","58",
"1400000US21111003000","Census Tract 30; Jefferson County; Kentucky","1923","337","312","69","1399","311","0","13","0","13","0","13","18","27","194","157","18","29","176","136",
"1400000US21111003501","Census Tract 35.01; Jefferson County; Kentucky","2756","437","2150","425","347","145","7","14","33","40","0","13","15","18","204","105","24","29","180","103",
"1400000US21111003502","Census Tract 35.02; Jefferson County; Kentucky","1620","303","347","287","1149","261","0","13","0","13","0","13","0","13","124","83","0","13","124","83",
"1400000US21111003600","Census Tract 36; Jefferson County; Kentucky","4020","513","1563","418","1961","225","14","17","23","31","117","73","23","33","319","252","0","13","319","252",
"1400000US21111003700","Census Tract 37; Jefferson County; Kentucky","1744","419","697","269","681","155","0","13","38","47","0","13","27","40","301","227","201","204","100","76",
"1400000US21111003800","Census Tract 38; Jefferson County; Kentucky","3488","835","2080","717","706","484","0","13","0","13","0","13","229","223","473","363","73","100","400","349",
"1400000US21111003900","Census Tract 39; Jefferson County; Kentucky","3682","767","1690","463","1303","659","13","22","0","13","0","13","359","372","317","304","22","37","295","305",
"1400000US21111004000","Census Tract 40; Jefferson County; Kentucky","1681","425","768","153","212","129","0","13","13","11","0","13","279","301","409","208","251","201","158","106",
"1400000US21111004100","Census Tract 41; Jefferson County; Kentucky","2083","360","1247","326","215","82","0","13","0","13","0","13","104","119","517","239","161","153","356","213",
"1400000US21111004301","Census Tract 43.01; Jefferson County; Kentucky","4143","776","895","265","2097","865","0","13","417","408","0","13","66","88","668","464","261","337","407","306",
"1400000US21111004302","Census Tract 43.02; Jefferson County; Kentucky","1180","229","509","109","361","117","0","13","6","9","0","13","42","54","262","186","214","201","48","45",
"1400000US21111004400","Census Tract 44; Jefferson County; Kentucky","4337","559","2725","415","933","456","8","12","33","58","4","8","85","60","549","189","222","152","327","145",
"1400000US21111004500","Census Tract 45; Jefferson County; Kentucky","3330","554","2378","478","522","154","1","2","67","69","0","13","121","188","241","147","89","85","152","127",
"1400000US21111004600","Census Tract 46; Jefferson County; Kentucky","4154","490","2145","440","1163","484","6","11","323","155","0","13","143","127","374","226","147","149","227","178",
"1400000US21111004900","Census Tract 49; Jefferson County; Kentucky","4765","512","2727","461","1251","333","34","51","172","147","5","23","280","216","296","134","41","45","255","117",
"1400000US21111005000","Census Tract 50; Jefferson County; Kentucky","2022","383","610","216","1260","362","21","31","0","13","0","13","34","43","97","62","7","11","90","60",
"1400000US21111005100","Census Tract 51; Jefferson County; Kentucky","3291","635","1695","264","1430","587","0","13","81","112","0","13","83","83","2","4","0","13","2","4",
"1400000US21111005200","Census Tract 52; Jefferson County; Kentucky","4158","743","3020","615","636","508","24","39","72","99","0","13","156","151","250","268","0","13","250","268",
"1400000US21111005300","Census Tract 53; Jefferson County; Kentucky","3289","281","2441","282","430","123","10","15","176","131","0","13","42","38","190","90","10","14","180","90",
"1400000US21111005600","Census Tract 56; Jefferson County; Kentucky","3993","857","1188","381","1922","721","0","13","349","235","0","13","74","86","460","229","317","210","143","108",
"1400000US21111005901","Census Tract 59.01; Jefferson County; Kentucky","2609","319","714","241","1544","321","12","19","83","68","8","13","15","23","233","230","149","216","84","77",
"1400000US21111005902","Census Tract 59.02; Jefferson County; Kentucky","2164","316","1364","254","508","243","0","13","120","95","0","13","8","13","164","104","90","83","74","68",
"1400000US21111006200","Census Tract 62; Jefferson County; Kentucky","2139","506","714","401","1290","379","0","13","0","13","0","13","29","62","106","70","16","32","90","64",
"1400000US21111006300","Census Tract 63; Jefferson County; Kentucky","1740","285","1471","267","85","71","6","9","55","62","0","13","0","13","123","66","30","24","93","59",
"1400000US21111006400","Census Tract 64; Jefferson County; Kentucky","2004","280","1606","307","18","18","0","13","138","97","0","13","0","13","242","136","55","72","187","121",
"1400000US21111006500","Census Tract 65; Jefferson County; Kentucky","2436","404","1465","371","700","196","7","13","23","35","0","13","0","13","241","152","90","95","151","113",
"1400000US21111006600","Census Tract 66; Jefferson County; Kentucky","1788","296","1338","275","321","150","0","13","0","13","0","13","0","13","129","93","38","37","91","73",
"1400000US21111006800","Census Tract 68; Jefferson County; Kentucky","2105","376","1899","371","78","56","0","13","16","19","0","13","20","29","92","68","16","24","76","66",
"1400000US21111006900","Census Tract 69; Jefferson County; Kentucky","2227","303","2036","313","98","93","0","13","23","22","0","13","0","13","70","44","14","21","56","41",
"1400000US21111007000","Census Tract 70; Jefferson County; Kentucky","1553","168","1491","168","21","25","6","10","13","21","0","13","0","13","22","29","5","15","17","23",
"1400000US21111007101","Census Tract 71.01; Jefferson County; Kentucky","150","84","141","84","0","13","9","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US21111007102","Census Tract 71.02; Jefferson County; Kentucky","4345","924","3021","733","443","142","0","13","184","167","0","13","352","531","345","180","40","58","305","188",
"1400000US21111007400","Census Tract 74; Jefferson County; Kentucky","2547","463","2050","386","92","66","0","13","24","27","0","13","23","25","358","413","274","411","84","66",
"1400000US21111007501","Census Tract 75.01; Jefferson County; Kentucky","6374","479","5975","463","55","49","8","12","72","55","0","18","117","120","147","73","59","44","88","62",
"1400000US21111007502","Census Tract 75.02; Jefferson County; Kentucky","5782","738","5027","819","259","214","7","8","209","177","0","18","4","7","276","133","116","97","160","90",
"1400000US21111007601","Census Tract 76.01; Jefferson County; Kentucky","1595","181","1238","157","163","153","0","13","92","104","0","13","10","16","92","90","12","19","80","87",
"1400000US21111007602","Census Tract 76.02; Jefferson County; Kentucky","3409","453","1817","325","957","364","0","13","277","157","0","13","67","61","291","143","102","109","189","100",
"1400000US21111007603","Census Tract 76.03; Jefferson County; Kentucky","2602","390","1458","341","592","369","55","75","92","89","0","13","131","201","274","180","80","101","194","154",
"1400000US21111007700","Census Tract 77; Jefferson County; Kentucky","2151","329","1871","351","119","78","9","19","112","97","0","13","0","13","40","33","1","9","39","30",
"1400000US21111007800","Census Tract 78; Jefferson County; Kentucky","3113","368","2801","384","110","79","30","51","11","16","0","13","0","13","161","111","66","81","95","75",
"1400000US21111007900","Census Tract 79; Jefferson County; Kentucky","1757","359","1657","354","17","19","0","13","11","12","0","13","0","13","72","51","20","23","52","44",
"1400000US21111008100","Census Tract 81; Jefferson County; Kentucky","4030","416","3371","411","86","88","17","29","55","64","0","13","59","61","442","228","143","147","299","192",
"1400000US21111008201","Census Tract 82.01; Jefferson County; Kentucky","1773","381","1655","382","18","22","20","32","8","12","0","13","0","13","72","58","10","16","62","56",
"1400000US21111008202","Census Tract 82.02; Jefferson County; Kentucky","2080","369","1816","347","103","65","0","13","71","63","0","13","21","24","69","49","11","18","58","44",
"1400000US21111008300","Census Tract 83; Jefferson County; Kentucky","2406","375","2057","403","50","44","0","13","20","25","0","13","23","24","256","148","43","34","213","138",
"1400000US21111008400","Census Tract 84; Jefferson County; Kentucky","2890","452","2660","456","73","56","0","13","51","44","0","13","23","32","83","71","23","30","60","56",
"1400000US21111008500","Census Tract 85; Jefferson County; Kentucky","1928","279","1585","210","111","105","0","13","35","32","0","13","0","13","197","113","70","75","127","88",
"1400000US21111008700","Census Tract 87; Jefferson County; Kentucky","3958","531","3564","578","84","50","0","13","63","44","0","13","10","15","237","106","57","46","180","97",
"1400000US21111008800","Census Tract 88; Jefferson County; Kentucky","3794","382","3516","384","34","25","1","4","23","21","0","13","0","13","220","102","158","106","62","37",
"1400000US21111008900","Census Tract 89; Jefferson County; Kentucky","5322","847","4812","850","169","98","0","18","21","29","0","18","9","18","311","131","75","69","236","119",
