Total,White,Black,Native,Asian,Other
1433,1003,403,0,0,0
982,855,76,0,0,17
2131,1037,986,0,0,75
4537,799,3687,0,0,0
1496,75,1333,22,0,41
2514,164,2322,0,0,0
1917,161,1745,0,0,0
1893,91,1668,4,0,0
2218,113,2050,27,9,0
3021,162,2819,0,0,40
2992,103,2855,0,0,34
2398,15,2378,0,0,0
3375,111,3026,0,0,0
2719,145,2442,0,0,0
1999,77,1773,0,0,13
1093,27,1059,0,0,0
2230,1542,486,13,0,52
1857,916,853,0,0,14
2049,170,1803,0,0,76
3062,817,2174,0,0,0
2755,454,2272,2,1,0
2118,242,1661,0,0,46
2028,311,1588,3,0,19
3072,2377,419,8,66,21
1855,399,1409,8,0,16
3686,1662,1585,25,5,13
1668,605,744,4,86,0
3456,2326,572,0,0,114
3456,1624,1409,13,0,105
